  ID                   adj.P.Val   P.Value    t           B           logFC        SPOT_ID
  -------------------- ----------- ---------- ----------- ----------- ------------ -----------------
  ENSG00000179295_at   0.00122     1.43e-07   5.622468    7.14925     0.424968     ENSG00000179295
  ENSG00000177119_at   0.00122     1.85e-07   5.56406     6.908259    0.8361372    ENSG00000177119
  ENSG00000147852_at   0.00122     2.09e-07   5.537483    6.799048    1.1909743    ENSG00000147852
  ENSG00000011243_at   0.00147     3.37e-07   -5.429601   6.358662    -0.6644219   ENSG00000011243
  ENSG00000109756_at   0.00147     5.08e-07   5.33646     5.982316    0.3563416    ENSG00000109756
  ENSG00000115648_at   0.00147     7.03e-07   -5.262058   5.684344    -1.7633781   ENSG00000115648
  ENSG00000162086_at   0.00147     9.80e-07   -5.185419   5.379935    -0.5126982   ENSG00000162086
  ENSG00000164849_at   0.00147     1.09e-06   5.161089    5.283846    0.4442148    ENSG00000164849
  ENSG00000156127_at   0.00147     1.14e-06   -5.149581   5.238485    -0.4035412   ENSG00000156127
  ENSG00000215386_at   0.00147     1.15e-06   5.149268    5.237255    1.077842     ENSG00000215386
  ENSG00000070081_at   0.00147     1.15e-06   -5.147462   5.230143    -1.1430546   ENSG00000070081
  ENSG00000122756_at   0.00147     1.28e-06   5.124121    5.138349    1.3839975    ENSG00000122756
  ENSG00000121964_at   0.00147     1.32e-06   5.115725    5.105392    0.8092044    ENSG00000121964
  ENSG00000073712_at   0.00147     1.40e-06   5.10329     5.056637    1.2109398    ENSG00000073712
  ENSG00000109762_at   0.00147     1.40e-06   -5.10324    5.056444    -0.565282    ENSG00000109762
  ENSG00000112379_at   0.00147     1.41e-06   -5.101239   5.048603    -0.8527952   ENSG00000112379
  ENSG00000104365_at   0.00147     1.73e-06   -5.053236   4.861113    -0.6171236   ENSG00000104365
  ENSG00000181090_at   0.00147     1.77e-06   -5.04785    4.840143    -0.4297029   ENSG00000181090
  ENSG00000127663_at   0.00147     1.84e-06   -5.038427   4.803485    -0.8284368   ENSG00000127663
  ENSG00000087087_at   0.00147     1.84e-06   -5.038343   4.803159    -0.5521031   ENSG00000087087
  ENSG00000176485_at   0.00147     1.93e-06   5.027349    4.760444    1.1585896    ENSG00000176485
  ENSG00000158186_at   0.00147     1.93e-06   5.026808    4.758343    1.8399969    ENSG00000158186
  ENSG00000089280_at   0.00147     2.06e-06   -5.011294   4.698169    -0.5866895   ENSG00000089280
  ENSG00000187720_at   0.00147     2.07e-06   -5.010806   4.696276    -1.5326962   ENSG00000187720
  ENSG00000172943_at   0.00147     2.11e-06   -5.006586   4.679928    -0.311549    ENSG00000172943
  ENSG00000168477_at   0.00148     2.20e-06   4.995729    4.637911    1.0941944    ENSG00000168477
  ENSG00000137203_at   0.00148     2.33e-06   -4.982954   4.588538    -1.1361069   ENSG00000137203
  ENSG00000164105_at   0.00148     2.37e-06   -4.978837   4.572644    -0.3212242   ENSG00000164105
  ENSG00000132970_at   0.0015      2.73e-06   4.94506     4.442542    1.403967     ENSG00000132970
  ENSG00000109586_at   0.0015      2.80e-06   -4.938847   4.418671    -1.3922435   ENSG00000109586
  ENSG00000133816_at   0.0015      2.84e-06   -4.935472   4.405712    -0.3044728   ENSG00000133816
  ENSG00000183621_at   0.0015      2.84e-06   4.93529     4.40501     0.6072164    ENSG00000183621
  ENSG00000103495_at   0.0015      3.02e-06   -4.921239   4.351117    -0.8133509   ENSG00000103495
  ENSG00000137727_at   0.0015      3.22e-06   4.905631    4.291365    0.8803619    ENSG00000137727
  ENSG00000155363_at   0.0015      3.25e-06   -4.903484   4.283154    -0.484951    ENSG00000155363
  ENSG00000090006_at   0.0015      3.37e-06   4.895088    4.251069    0.5946665    ENSG00000090006
  ENSG00000163145_at   0.0015      3.44e-06   4.889938    4.231403    0.2954289    ENSG00000163145
  ENSG00000187134_at   0.0015      3.45e-06   4.888863    4.227298    2.198923     ENSG00000187134
  ENSG00000165105_at   0.0015      3.55e-06   -4.882027   4.201222    -1.3051052   ENSG00000165105
  ENSG00000156398_at   0.0015      3.62e-06   -4.877389   4.183542    -0.6068975   ENSG00000156398
  ENSG00000171368_at   0.0015      3.69e-06   4.872879    4.166359    0.2699759    ENSG00000171368
  ENSG00000119865_at   0.0015      3.69e-06   4.872863    4.166296    0.7808044    ENSG00000119865
  ENSG00000165801_at   0.0015      3.70e-06   4.872598    4.165287    0.6000843    ENSG00000165801
  ENSG00000134548_at   0.00158     4.01e-06   4.853287    4.091832    1.5066434    ENSG00000134548
  ENSG00000196139_at   0.00158     4.05e-06   4.850534    4.081375    1.9484801    ENSG00000196139
  ENSG00000009950_at   0.00159     4.37e-06   4.832515    4.013022    1.025757     ENSG00000009950
  ENSG00000103591_at   0.00159     4.54e-06   -4.823312   3.978177    -0.8794489   ENSG00000103591
  ENSG00000047578_at   0.00159     4.56e-06   -4.822274   3.974249    -0.6935495   ENSG00000047578
  ENSG00000154188_at   0.00159     4.68e-06   4.815821    3.94984     0.5111002    ENSG00000154188
  ENSG00000185499_at   0.00159     4.73e-06   -4.813094   3.939533    -1.9272272   ENSG00000185499
  ENSG00000159433_at   0.00159     4.73e-06   4.813082    3.939488    0.5756446    ENSG00000159433
  ENSG00000130202_at   0.00159     4.79e-06   -4.810132   3.928344    -1.2291086   ENSG00000130202
  ENSG00000146592_at   0.00159     4.82e-06   4.808759    3.923156    1.5543468    ENSG00000146592
  ENSG00000140443_at   0.00159     4.90e-06   -4.804556   3.907286    -1.143426    ENSG00000140443
  ENSG00000150907_at   0.00159     5.05e-06   4.797547    3.880839    1.0274966    ENSG00000150907
  ENSG00000138771_at   0.00159     5.09e-06   -4.795506   3.873143    -1.3003447   ENSG00000138771
  ENSG00000118596_at   0.00159     5.17e-06   4.791573    3.858319    1.3543605    ENSG00000118596
